"GEO_ID","NAME","B01001_001E","B01001_002E","B01001_003E","B01001_004E","B01001_005E","B01001_006E","B01001_007E","B01001_008E","B01001_009E","B01001_010E","B01001_011E","B01001_012E","B01001_013E","B01001_014E","B01001_015E","B01001_016E","B01001_017E","B01001_018E","B01001_019E","B01001_020E","B01001_021E","B01001_022E","B01001_023E","B01001_024E","B01001_025E","B01001_026E","B01001_027E","B01001_028E","B01001_029E","B01001_030E","B01001_031E","B01001_032E","B01001_033E","B01001_034E","B01001_035E","B01001_036E","B01001_037E","B01001_038E","B01001_039E","B01001_040E","B01001_041E","B01001_042E","B01001_043E","B01001_044E","B01001_045E","B01001_046E","B01001_047E","B01001_048E","B01001_049E"
"Geography","NAME","Estimate!!Total:","Estimate!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 years","Estimate!!Total:!!Male:!!21 years","Estimate!!Total:!!Male:!!22 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 39 years","Estimate!!Total:!!Male:!!40 to 44 years","Estimate!!Total:!!Male:!!45 to 49 years","Estimate!!Total:!!Male:!!50 to 54 years","Estimate!!Total:!!Male:!!55 to 59 years","Estimate!!Total:!!Male:!!60 and 61 years","Estimate!!Total:!!Male:!!62 to 64 years","Estimate!!Total:!!Male:!!65 and 66 years","Estimate!!Total:!!Male:!!67 to 69 years","Estimate!!Total:!!Male:!!70 to 74 years","Estimate!!Total:!!Male:!!75 to 79 years","Estimate!!Total:!!Male:!!80 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 years","Estimate!!Total:!!Female:!!21 years","Estimate!!Total:!!Female:!!22 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 39 years","Estimate!!Total:!!Female:!!40 to 44 years","Estimate!!Total:!!Female:!!45 to 49 years","Estimate!!Total:!!Female:!!50 to 54 years","Estimate!!Total:!!Female:!!55 to 59 years","Estimate!!Total:!!Female:!!60 and 61 years","Estimate!!Total:!!Female:!!62 to 64 years","Estimate!!Total:!!Female:!!65 and 66 years","Estimate!!Total:!!Female:!!67 to 69 years","Estimate!!Total:!!Female:!!70 to 74 years","Estimate!!Total:!!Female:!!75 to 79 years","Estimate!!Total:!!Female:!!80 to 84 years","Estimate!!Total:!!Female:!!85 years and over"
"1500000US240378757003","Block Group 3, Census Tract 8757, St. Mary's County, Maryland","3083","1633","129","105","136","65","123","0","0","26","39","173","97","0","232","99","106","20","64","75","34","49","0","45","16","1450","41","51","234","101","38","14","62","14","19","132","74","75","89","97","134","47","61","41","32","46","48","0","0"
"1500000US240479506003","Block Group 3, Census Tract 9506, Worcester County, Maryland","1036","490","21","21","41","24","0","0","0","0","0","8","28","43","0","48","28","9","24","9","64","44","34","44","0","546","27","35","31","25","13","0","0","0","11","0","40","28","25","33","28","15","17","50","40","42","68","9","9"
"1500000US240253032031","Block Group 1, Census Tract 3032.03, Harford County, Maryland","1005","480","42","49","82","34","39","0","0","0","0","8","50","18","31","42","30","20","0","8","18","0","9","0","0","525","10","29","75","14","8","51","0","64","0","35","27","38","59","28","11","0","10","8","8","9","11","7","23"
"1500000US240217519012","Block Group 2, Census Tract 7519.01, Frederick County, Maryland","1732","850","57","57","60","21","10","9","12","13","9","27","76","73","39","111","28","9","54","30","44","57","16","31","7","882","53","64","70","41","8","0","0","0","60","25","40","81","54","88","38","35","41","26","53","53","34","18","0"
"1500000US245100701002","Block Group 2, Census Tract 701, Baltimore city, Maryland","1488","756","134","63","42","63","43","42","9","56","13","54","43","11","14","60","11","3","23","7","0","19","16","25","5","732","119","18","16","34","8","0","0","31","82","34","16","36","63","35","60","90","25","12","15","19","18","0","1"
"1500000US240317015091","Block Group 1, Census Tract 7015.09, Montgomery County, Maryland","1233","630","58","14","11","15","81","1","0","54","0","14","28","39","15","62","69","0","46","0","15","34","16","43","15","603","104","26","47","0","0","0","0","0","15","25","49","10","73","34","26","22","46","11","14","14","56","16","15"
"1500000US240338021032","Block Group 2, Census Tract 8021.03, Prince George's County, Maryland","1703","885","12","87","169","37","0","0","0","0","132","59","73","22","74","53","58","17","32","25","8","14","0","0","13","818","91","97","19","63","0","0","0","5","60","0","75","75","62","29","79","74","30","28","10","0","12","0","9"
"1500000US240230004003","Block Group 3, Census Tract 4, Garrett County, Maryland","1010","515","6","9","47","35","15","6","3","52","61","16","28","16","25","42","32","28","2","4","23","25","17","12","11","495","9","25","34","3","6","0","47","0","0","30","44","0","38","50","23","48","10","1","61","22","14","9","21"
"1500000US240054036012","Block Group 2, Census Tract 4036.01, Baltimore County, Maryland","1017","457","22","0","72","0","0","0","0","0","24","40","28","17","45","47","9","42","45","17","26","8","8","7","0","560","78","14","45","44","0","0","0","30","47","25","7","14","29","66","39","42","18","10","15","30","0","7","0"
"1500000US245102502072","Block Group 2, Census Tract 2502.07, Baltimore city, Maryland","1103","496","112","0","62","20","34","11","0","23","0","44","37","41","20","33","34","10","0","6","9","0","0","0","0","607","68","72","37","40","6","5","10","0","22","52","20","63","47","19","15","9","15","31","26","28","8","0","14"
"1500000US240276069011","Block Group 1, Census Tract 6069.01, Howard County, Maryland","1776","756","70","27","61","38","17","0","0","58","29","67","46","128","36","21","59","48","1","9","14","27","0","0","0","1020","92","116","75","0","0","32","32","0","99","136","90","38","86","27","40","40","46","24","16","31","0","0","0"
"1500000US245100202001","Block Group 1, Census Tract 202, Baltimore city, Maryland","661","370","9","5","6","0","0","0","4","41","70","66","54","40","19","41","0","0","0","0","0","5","10","0","0","291","20","6","0","0","0","0","0","42","43","59","52","0","11","17","0","0","0","0","0","31","0","10","0"
"1500000US240338013092","Block Group 2, Census Tract 8013.09, Prince George's County, Maryland","2003","1001","170","6","57","68","10","11","0","43","33","48","21","77","68","98","130","0","31","7","20","38","37","18","10","1002","20","38","62","65","0","0","11","38","72","59","90","103","60","155","59","25","22","15","17","35","37","10","9"
"1500000US245101601004","Block Group 4, Census Tract 1601, Baltimore city, Maryland","478","329","0","26","0","0","27","0","0","0","40","0","24","0","16","21","48","0","84","20","0","0","23","0","0","149","0","0","0","0","0","0","0","0","36","0","25","0","9","0","20","13","19","0","0","0","27","0","0"
"1500000US240217675002","Block Group 2, Census Tract 7675, Frederick County, Maryland","871","444","67","47","56","0","0","11","0","8","7","52","0","8","28","25","0","0","10","21","7","32","48","0","17","427","13","28","11","0","0","0","0","7","26","48","0","17","46","9","37","0","32","6","34","55","41","17","0"
"1500000US240178509012","Block Group 2, Census Tract 8509.01, Charles County, Maryland","1995","888","122","0","52","12","44","0","11","120","148","0","28","53","17","122","60","64","0","0","21","0","0","14","0","1107","0","74","119","50","17","0","35","54","22","27","120","101","15","135","82","0","0","27","86","121","0","22","0"
"1500000US245102601023","Block Group 3, Census Tract 2601.02, Baltimore city, Maryland","884","464","29","45","51","49","0","0","0","0","28","43","35","21","70","0","16","0","10","27","0","10","11","19","0","420","64","39","38","10","19","12","0","0","27","70","0","53","20","0","19","0","0","41","0","8","0","0","0"
"1500000US240037504002","Block Group 2, Census Tract 7504, Anne Arundel County, Maryland","1570","682","46","19","37","5","1","7","9","1","25","43","53","68","17","85","65","22","29","12","19","74","19","13","13","888","38","43","41","37","9","0","0","25","72","51","85","39","41","108","55","13","68","23","10","85","19","4","22"
"1500000US240098602002","Block Group 2, Census Tract 8602, Calvert County, Maryland","3648","1741","22","143","114","114","0","32","54","29","46","32","90","218","46","183","184","122","103","71","14","15","87","15","7","1907","34","99","105","68","79","0","18","155","27","75","114","219","135","169","122","117","97","52","28","91","18","70","15"
"1500000US240054037011","Block Group 1, Census Tract 4037.01, Baltimore County, Maryland","2167","877","49","29","33","0","0","0","0","0","20","120","16","0","40","63","18","14","0","73","28","15","234","62","63","1290","48","0","0","0","0","0","35","0","81","104","37","43","20","57","122","41","65","72","88","123","123","110","121"
"1500000US240054505012","Block Group 2, Census Tract 4505.01, Baltimore County, Maryland","1621","803","20","7","39","71","12","13","57","28","0","77","64","48","3","94","118","9","26","12","21","63","9","0","12","818","35","48","39","28","36","11","18","23","25","94","8","49","86","64","29","39","32","19","42","10","9","63","11"
"1500000US240338019052","Block Group 2, Census Tract 8019.05, Prince George's County, Maryland","4549","1894","134","84","24","40","33","57","22","85","231","175","142","215","64","203","143","8","107","6","36","23","12","23","27","2655","164","117","116","86","24","63","0","86","371","218","191","134","161","210","235","147","61","59","82","82","24","24","0"
"1500000US240054113063","Block Group 3, Census Tract 4113.06, Baltimore County, Maryland","1673","731","36","39","90","0","48","0","0","0","33","88","89","48","67","47","89","5","19","6","27","0","0","0","0","942","0","108","0","0","0","0","0","96","155","79","66","113","0","151","21","0","5","26","0","21","0","42","59"
"1500000US240378760024","Block Group 4, Census Tract 8760.02, St. Mary's County, Maryland","1876","976","0","29","106","133","21","9","0","76","74","111","0","121","74","73","65","0","23","0","0","61","0","0","0","900","20","14","99","38","72","0","0","84","61","11","100","94","72","88","54","33","22","0","12","26","0","0","0"
"1500000US240037402031","Block Group 1, Census Tract 7402.03, Anne Arundel County, Maryland","3358","1741","153","90","131","110","33","0","11","52","48","143","67","125","98","140","127","48","101","26","79","83","36","19","21","1617","28","14","122","83","70","21","49","44","73","91","42","88","108","103","264","43","42","78","104","87","53","2","8"
"1500000US240010017002","Block Group 2, Census Tract 17, Allegany County, Maryland","1116","658","34","46","67","20","0","0","19","55","56","114","0","41","52","14","46","17","15","29","16","0","0","0","17","458","0","38","11","0","49","0","0","0","57","15","0","110","0","0","100","31","11","22","0","0","0","0","14"
"1500000US245101903001","Block Group 1, Census Tract 1903, Baltimore city, Maryland","372","246","23","45","0","14","0","0","0","20","18","35","11","0","0","47","0","4","18","0","4","4","0","3","0","126","0","7","18","14","0","1","0","1","19","28","2","0","12","0","5","0","5","1","9","2","0","2","0"
"1500000US240054085071","Block Group 1, Census Tract 4085.07, Baltimore County, Maryland","2149","1064","64","97","23","24","13","50","0","29","303","85","57","67","57","66","56","0","25","30","0","0","18","0","0","1085","67","44","57","26","0","0","0","39","368","146","62","26","44","65","66","26","24","25","0","0","0","0","0"
"1500000US240135082003","Block Group 3, Census Tract 5082, Carroll County, Maryland","1338","639","0","0","28","0","12","0","52","66","64","21","0","70","113","26","51","11","24","10","19","14","36","22","0","699","0","0","153","57","60","0","0","0","0","0","70","11","164","60","22","28","0","40","14","10","0","10","0"
"1500000US245102718011","Block Group 1, Census Tract 2718.01, Baltimore city, Maryland","490","143","0","0","0","0","0","0","0","13","0","11","17","0","37","0","10","0","0","14","0","41","0","0","0","347","13","13","0","0","0","13","0","10","28","0","0","18","0","52","15","15","30","20","0","10","50","20","40"
"1500000US240054050002","Block Group 2, Census Tract 4050, Baltimore County, Maryland","1551","767","19","95","0","15","0","12","12","34","88","86","20","34","6","89","54","0","42","16","62","61","0","22","0","784","55","7","28","55","7","0","0","61","42","64","71","40","43","48","54","28","58","50","9","28","24","11","1"
"1500000US240317057022","Block Group 2, Census Tract 7057.02, Montgomery County, Maryland","1697","811","36","58","8","12","15","0","17","40","51","6","67","34","32","39","81","19","19","18","31","28","130","44","26","886","36","46","41","24","0","11","0","24","0","6","47","39","55","23","23","33","37","32","39","134","35","129","72"
"1500000US240338017012","Block Group 2, Census Tract 8017.01, Prince George's County, Maryland","1780","891","67","80","46","13","20","0","0","52","76","42","33","26","76","11","124","34","78","16","42","25","0","30","0","889","12","54","111","0","20","0","17","56","34","60","29","53","42","68","86","40","40","31","62","9","52","8","5"
"1500000US240338024052","Block Group 2, Census Tract 8024.05, Prince George's County, Maryland","1619","771","41","51","56","19","46","12","25","0","52","14","0","47","109","39","70","0","9","18","0","69","59","0","35","848","0","27","26","18","0","0","9","11","61","8","35","8","46","114","69","46","26","39","68","85","53","18","81"
"1500000US240338014101","Block Group 1, Census Tract 8014.10, Prince George's County, Maryland","1509","778","0","34","64","37","9","0","0","17","12","52","38","79","13","108","34","23","122","0","34","33","21","31","17","731","18","7","33","33","23","0","0","0","47","41","45","24","17","70","55","23","133","8","37","50","6","48","13"
"1500000US240479501003","Block Group 3, Census Tract 9501, Worcester County, Maryland","184","95","0","0","0","0","0","0","0","4","0","5","0","29","0","11","0","0","0","6","5","14","21","0","0","89","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","6","8","0","7","21","9","33"
"1500000US240054920023","Block Group 3, Census Tract 4920.02, Baltimore County, Maryland","894","453","15","15","43","14","0","34","0","39","20","27","48","8","62","0","40","7","25","11","8","0","8","29","0","441","37","0","8","33","27","0","13","9","13","34","28","37","27","44","48","0","15","12","0","0","38","18","0"
"1500000US240054085023","Block Group 3, Census Tract 4085.02, Baltimore County, Maryland","1111","482","60","0","37","0","0","19","19","13","0","17","32","0","25","69","62","21","0","0","35","57","0","16","0","629","18","0","28","89","0","0","0","0","17","0","32","0","46","106","48","0","39","47","60","28","32","19","20"
"1500000US245102101002","Block Group 2, Census Tract 2101, Baltimore city, Maryland","1755","778","0","0","19","27","51","0","0","39","164","65","203","31","28","68","21","20","7","0","18","6","4","0","7","977","84","28","41","36","16","34","24","37","194","105","45","44","26","50","46","53","11","6","13","52","6","26","0"
"1500000US245102804032","Block Group 2, Census Tract 2804.03, Baltimore city, Maryland","1271","771","0","0","0","93","111","24","0","0","18","32","141","0","108","37","15","0","76","49","20","11","16","5","15","500","0","0","88","0","0","0","0","0","0","0","5","146","18","14","32","90","18","0","7","0","27","26","29"
"1500000US245100803023","Block Group 3, Census Tract 803.02, Baltimore city, Maryland","609","269","16","18","21","23","0","24","0","0","48","24","0","0","0","0","67","0","0","19","9","0","0","0","0","340","14","26","43","0","0","0","0","0","11","46","0","10","12","15","66","19","10","0","12","35","9","12","0"
"1500000US240054114082","Block Group 2, Census Tract 4114.08, Baltimore County, Maryland","1957","948","131","96","37","21","0","0","0","21","131","67","82","39","62","27","87","23","7","6","18","45","29","7","12","1009","102","65","22","0","0","14","16","57","101","91","91","0","59","70","161","32","14","25","23","30","11","15","10"
"1500000US240450101013","Block Group 3, Census Tract 101.01, Wicomico County, Maryland","1758","752","15","0","47","13","61","16","0","0","34","38","73","112","40","0","72","0","86","12","0","51","33","23","26","1006","34","143","137","0","0","0","57","0","17","54","125","38","67","76","90","0","26","0","26","58","21","10","27"
"1500000US240317037022","Block Group 2, Census Tract 7037.02, Montgomery County, Maryland","1051","547","0","69","52","3","1","0","0","24","46","29","86","54","28","27","18","5","52","13","0","30","0","8","2","504","65","32","71","1","7","0","0","0","25","88","38","35","45","25","0","10","20","11","4","8","0","10","9"
"1500000US240217520013","Block Group 3, Census Tract 7520.01, Frederick County, Maryland","1725","902","44","38","102","80","11","0","15","41","37","17","17","78","113","105","81","7","0","24","26","5","31","9","21","823","27","29","76","36","34","0","25","31","32","16","44","43","80","120","54","34","24","13","29","13","17","32","14"
"1500000US240199705002","Block Group 2, Census Tract 9705, Dorchester County, Maryland","1603","570","46","25","89","35","0","0","9","15","27","0","50","0","5","30","20","5","6","27","42","34","48","27","30","1033","101","23","79","33","13","24","0","8","57","64","41","62","22","70","33","25","40","18","60","53","45","69","93"
"1500000US245102602024","Block Group 4, Census Tract 2602.02, Baltimore city, Maryland","1609","706","0","30","0","0","0","40","0","66","52","63","83","80","147","43","50","19","17","16","0","0","0","0","0","903","161","0","21","0","0","25","39","39","100","135","0","0","46","101","48","28","17","52","54","18","0","18","1"
"1500000US240317024023","Block Group 3, Census Tract 7024.02, Montgomery County, Maryland","2473","1272","172","45","90","38","0","23","23","34","86","196","177","67","32","65","78","15","24","42","0","36","15","0","14","1201","200","49","26","51","0","0","14","20","144","49","140","106","66","25","0","57","47","85","16","35","71","0","0"
"1500000US240317007103","Block Group 3, Census Tract 7007.10, Montgomery County, Maryland","1338","607","0","23","13","16","21","0","28","81","21","19","86","25","54","82","108","0","0","0","6","12","12","0","0","731","44","67","0","60","0","46","24","0","0","56","47","0","63","89","85","30","5","0","0","44","12","44","15"
